S 010DE 0 1 010E0 000018BE 00003241 0000F6F5 0000B639 0000E5D7 000084DC 0000FAEC 00003C83 003E4266 003E4003 003E40D8 003E4025 003E42D3 003E429F 003E5200 3354A47A
S 011C6 0 1 011CA 00000000 0000A3AE 00005E13 000002CA 0000F758 000029E8 0000B57D 0000B899 003E42D0 003E4204 003E4202 003E4314 003E40E9 003E432F 003E5200 EF4E2199
S 011EA 0 1 011EE 00007960 00000020 00003DFE 0000A12F 00007CC7 00009384 0000BD00 0000D065 003E42CA 003E42E1 003E40C0 003E414E 003E413F 003E4360 003E5200 BAB1DC37
S 0122C 0 1 01230 000097DC 0000CD71 0000B1A9 0000A061 00001C35 00000C4E 0000B30A 00003A81 003E417C 003E4027 003E40AA 003E422B 003E4160 003E42F8 003E4FE8 0F337E0C
S 012CA 0 1 012CE 000024AC 00001F40 00004A37 0000AF26 0000E328 00003F16 00002DE1 00008D31 003E4084 003E4284 003E4075 003E40AC 003E4200 003E4309 003E4FE8 03210737
S 013B2 0 1 013B6 0000A586 00008758 00003943 0000B575 00004470 0000EFC2 0000652D 0000D82F 003E4121 003E402D 003E42A6 003E415D 003E40E9 003E436D 003E4FE8 D07B079B
S 0149A 0 1 0149E 000049C3 0000BE1C 00003012 0000CFCA 00005B4F 0000C5F6 0000A1BA 0000A46A 003E4034 003E4110 003E41A5 003E4297 003E413B 003E4216 003E5200 62E2E431
S 014DC 0 1 014E0 0000CFB3 0000FB5C 0000000F 000084DD 0000CB4B 0000FAE9 00001C2D 00002431 003E4150 003E4218 003E4113 003E4375 003E42F8 003E411A 003E5200 44D507A1
S 01512 0 1 01516 0000611F 000079A8 0000000F 00001539 00004C85 00006E65 0000E3C8 000042B2 003E432E 003E4212 003E4222 003E433B 003E408E 003E4337 003E5200 CA191C91
S 0156C 0 1 01570 000000B9 000037E0 0000B830 0000BCE4 0000F945 0000C364 000085C0 000020DB 003E41D0 003E4226 003E4148 003E42CB 003E4375 003E4355 003E5200 5AFB0795
S 01578 0 1 0157C 000000EF 00008D3C 00005BC8 0000CF00 00002B6A 0000CAB8 0000EA46 000001F7 003E436F 003E407E 003E4024 003E4068 003E4068 003E426F 003E5200 0075FCC6
S 01584 0 1 01588 0000FF91 00008586 0000C7BD 00000C09 00007B3F 0000991C 0000BF12 0000AEFC 003E4105 003E42C8 003E40D6 003E400F 003E4137 003E40F8 003E5200 3BA343F4
S 01592 0 1 01596 0000FF69 00006089 00008070 0000CEFA 0000A090 00008C3C 000001DC 0000EF05 003E4205 003E4015 003E4215 003E4046 003E4309 003E42E8 003E5200 CBDC1EB2
S 015A0 0 1 015A4 000019D6 0000C2CC 00008B20 0000AEE8 00007DA3 0000E1EE 0000EEAB 0000AA65 003E4232 003E4062 003E40C3 003E40B1 003E4211 003E409D 003E5200 83C58721
S 015B4 0 1 3E6000 000084A4 00005AD6 0000061C 0000EFFC 000074DD 00004130 000047E4 0000DACC 003E4333 003E41E3 003E4355 003E40E7 003E4370 003E4333 003E5200 79435239
S 015BE 0 1 015C2 0000D5A7 0000D72B 000048A4 00006D7D 0000E5F8 00003FB9 00003A39 00000E4B 0000009A 003E4030 003E4322 003E42C7 003E41EA 003E4174 003E5200 58304E18
S 015D6 0 1 015DA 0000FCB8 00000003 0000D26A 00003149 0000F885 00008936 00001691 0000FD7F 003E4064 003E41E0 003E4164 003E42B3 003E41FB 003E4341 003E5200 B3D5DFC0
S 015FE 0 1 01602 0000E443 000061EC 0000EE43 0000C0D2 0000CEC7 000088B6 0000D9B8 0000EC5D 003E4164 003E42F6 003E40C7 003E433E 003E402C 003E4309 003E4FE8 A39435AF
S 01836 0 1 0183A 000099E8 00007D58 FFFFFFFF 00004673 0000E6ED 0000CBCD 0000DBC1 000005B3 003E4315 003E41F7 003E41DA 003E429B 003E4224 003E4101 003E5200 196F64FA
S 018A6 0 1 018AC 00003D11 00005F49 00007054 0000CCAE 0000E600 0000768C 0000AD41 000005C0 003E40E6 003E41D8 003E430C 003E41E9 003E4091 003E4345 003E5200 064746D5
S 018FA 0 1 018FE 0000C4C1 0000E5C3 0000B6A0 00005C37 0000181B 00004269 0000A4BF 0000B5C6 003E4342 003E40E3 003E41BF 003E417F 003E424C 003E42BA 003E4FE8 3267189C
S 01980 0 1 01984 00002D95 0000414D 0000DCBC 0000A29D 000071A5 00001262 0000E1EE 0000177A 003E4048 003E41F8 003E4355 003E42DD 003E423C 003E4352 003E5200 51D9234C
